Person,Board,Sector,Company Name,,Affiliation
Sella Nevo,World Economic Forum Global Future Council on Artificial General Intelligence,Nonprofit,,,RAND
Seung Hong,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,Korea Advanced Institute of Science and Technology
Wan Sie Lee,World Economic Forum Global Future Council on Artificial General Intelligence,Government,,,Singapore
Yoshua Bengio,World Economic Forum Global Future Council on Artificial General Intelligence,Academia,,,University of Montreal
Tabitha Goldstaub,UK AI Council,Coorporation,Luminate,,
Adrian Joseph,UK AI Council,Coorporation,BT Group,,
Adrian Smith,UK AI Council,Nonprofit,,,Alan Turing Institute
Ann Cairns,UK AI Council,Coorporation,Mastercard,,
Claire Craig,UK AI Council,Academia,,,Oxford
David Lane,UK AI Council,Academia,,,Edinburgh Centre for Robotics
Lila Ibrahim,UK AI Council,Coorporation,Google,,
Rachel Dunscombe,UK AI Council,Government,,,NHS Digital Academy
Maire O'Neil,UK AI Council,Academia,,,Queen's University Belfast
Marc Warner,UK AI Council,Coorporation,Faculty,,
Mark Walport,UK AI Council,Government,,,UK Research and Innovation
Martin Tisne,UK AI Council,Coorporation,Luminate,,
Neil Lawrence,UK AI Council,Academia,,,Cambridge University
Nick Jennings,UK AI Council,Academia,,,Loughborough University
Patricia Hodgson,UK AI Council,Government,,,UK Research and Innovation
Paul Clarke,UK AI Council,Government,,,Robotics Growth Partnership
Pete Burnap,UK AI Council,Academia,,,Cardiff University
Priya Lakhani,UK AI Council,Coorporation,CENTURY Tech,,
Wendy Hall,UK AI Council,Academia,,,University of Southampton
